PLAN_ID,BENEFIT_NAME,BENEFIT_GRP,PPT_Flag,PRODCODE,ARO_PC,TYPE,TYPE2,TYPE3,MinAge,MaxAge,MinTerm,MaxTerm,Minppt,Maxppt,MaxMatAge,MinMatAge,MinPrem,MaxPrem,MinSA,MaxSA,MapTo,DBOPT,Count,RE_CODE,FA_Zero,UIN_IND,NO_UIN_IND,DBO,VAL_METHOD,Revival_Period,Post_2013_Ind,ROP_IND,Payout_opt
DP20,Dread Disease 20 Yr Rider (Par),Dread Disease  Rider(par),1,CR_DD_,C_PDDR,PAR,Rider,Par,20,50,20,20,20,20,60,40,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
DP25,Dread Disease 25 Yr Rider (Par),Dread Disease  Rider(par),1,CR_DD_,C_PDDR,PAR,Rider,Par,20,50,25,25,25,25,60,45,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
DP30,Dread Disease 30 Yr Rider (Par),Dread Disease  Rider(par),1,CR_DD_,C_PDDR,PAR,Rider,Par,20,50,30,30,30,30,60,50,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
DPPT,Dread Disease Rider (Par),Dread Disease  Rider(par),1,CR_DD_,C_PDDR,PAR,Rider,Par,20,50,10,40,10,40,60,30,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
DPPT10,Dread Disease Rider (Par)- Limited pay 10 yrs,Dread Disease  Rider(par),1,CR_DD_,C_PDDR,PAR,Rider,Par,20,50,10,10,10,10,60,30,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
DPPT15,Dread Disease Rider (Par)- Limited pay 15 yrs,Dread Disease  Rider(par),1,CR_DD_,C_PDDR,PAR,Rider,Par,20,50,15,15,15,15,60,35,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
DPPT20,Dread Disease Rider (Par)- Limited pay 20 yrs,Dread Disease  Rider(par),1,CR_DD_,C_PDDR,PAR,Rider,Par,20,50,20,20,20,20,60,40,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
EN08S,Single Premium Insurance Bond,Single Premium Insurance Bond,0,CE_SPB,C_SPB_,NPAR,Plan,NPAR Savings,18,60,8,8,1,1,68,26,0,9999999999,50000,20000000,NA,99,99,0,0,0,0,1,0,0,0,0,0
ENDT15,Amsure Business Builder,Amsure Business Builder,1,C_AMBB,C_AMBB,NPAR,Plan,NPAR Protection,18,55,15,15,15,15,70,33,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
ENDT20,Amsure Business Builder,Amsure Business Builder,1,C_AMBB,C_AMBB,NPAR,Plan,NPAR Protection,18,55,20,20,20,20,70,38,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP18,Endowment to Age 18,Child Endowment,1,CEC_RP,C_CER2,PAR,Plan,Par,0,13,5,18,5,18,18,18,0,9999999999,100000,5000000,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP18S,Children Endowment to Age 18(Single Premium),Child Endowment,0,CEC_SP,C_CES2,PAR,Plan,Par,0,13,5,18,1,1,18,18,0,9999999999,75000,5000000,NA,99,99,0,0,0,0,1,0,0,0,0,0
EP20,20 Year Endowment Plan,Endowment,1,CE_20P,C_EN20,PAR,Plan,Par,20,50,20,20,20,20,70,40,0,9999999999,100000,10000000,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP2006,Life Gain Plus 20 Yr 6 Pay,Life gain Plus,0,CE__LP,C_LPEN,PAR,Plan,Par,0,55,20,20,6,6,75,20,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP2010,Life Gain Plus 20 Yr 10 Pay,Life gain Plus,0,CE__LP,C_LPEN,PAR,Plan,Par,0,55,20,20,10,10,75,20,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP206G,Life Gain Plus 20 Yr 6 Pay - GTMS,Life gain Plus,0,CE__LP,C_LPEN,PAR,Plan,Par,0,55,20,20,6,6,75,20,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP20D,20 Year Endowment Plan - ND,Endowment,1,CE_20P,C_EN20,PAR,Plan,Par,20,50,20,20,20,20,70,40,0,9999999999,100000,10000000,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP20E,20 Year Endowment Plan (Employee),Endowment,1,CE_20P,C_EN20,PAR,Plan,Par,20,50,20,20,20,20,70,40,0,9999999999,100000,10000000,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP20G,20 Year Endowment Plan - GTMS,Endowment,1,CE_20P,C_EN20,PAR,Plan,Par,20,50,20,20,20,20,70,40,0,9999999999,100000,10000000,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP24,Endowment to Age 24,Child Endowment,1,CEC2RP,C_CERP,PAR,Plan,Par,0,15,9,24,9,24,24,24,0,9999999999,100000,5000000,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP24A,Amsure future builder,Amsure future builder,1,C_AMCH,C_AMCH,PAR,Plan,Par,0,14,10,24,10,24,24,10,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP24S,Children Endowment to Age 24(Single Premium),Child Endowment,0,CEC2SP,C_CESP,PAR,Plan,Par,0,15,9,24,1,1,24,24,0,9999999999,75000,5000000,NA,99,99,0,0,0,0,1,0,0,0,0,0
EP2506,Life Gain Plus 25 Yr 6 Pay,Life gain Plus,0,CE__LP,C_LPEN,PAR,Plan,Par,0,50,25,25,6,6,75,25,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP2510,Life Gain Plus 25 Yr 10 Pay,Life gain Plus,0,CE__LP,C_LPEN,PAR,Plan,Par,0,50,25,25,10,10,75,25,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP2515,Life Gain Plus 25 Yr 15 Pay,Life gain Plus,0,CE__LP,C_LPEN,PAR,Plan,Par,0,50,25,25,15,15,75,25,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP256G,Life Gain Plus 25 Yr 6 Pay - GTMS,Life gain Plus,0,CE__LP,C_LPEN,PAR,Plan,Par,0,50,25,25,6,6,75,25,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP60,Endowment to Age 60,Endowment,1,CE_60P,C_EN60,PAR,Plan,Par,0,50,10,60,10,60,60,60,0,9999999999,100000,50000000,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP60G,Endowment to Age 60 - GTMS,Endowment,1,CE_60P,C_EN60,PAR,Plan,Par,0,50,10,60,10,60,60,60,0,9999999999,100000,50000000,NA,99,99,0,0,0,0,1,0,36,0,0,0
EP60N,Life Gain to Age 60,Life Gain,1,CE__LG,C_LFGN,PAR,Plan,Par,0,50,10,60,10,60,60,60,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EPMB1,Life Pay Money Back,Life Pay Money Back,0,C_LPMB,C_LPMB,PAR,Plan,Par,0,55,16,24,16,24,75,16,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EPMBL,SUper Savor Bond,SUper Savor Bond,0,C__SSB,C_SSB_,NPAR,Plan,NPAR Savings,10,55,10,10,8,8,65,20,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EPPT,Life Gain,Life Gain,1,CE__LG,C_LFGN,PAR,Plan,Par,0,65,10,25,10,25,75,10,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EPS,Stepping Stones,Stepping Stones,1,CE__SS,C_STEP,PAR,Plan,Par,21,60,11,26,11,26,75,32,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EPSA,Amsure Family MoneyBack,Stepping Stones,1,CE__SS,C_STEP,PAR,Plan,Par,21,60,11,26,11,26,75,32,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
EPS11G,Stepping Stones 11 Year - GTMS,Stepping Stones,1,CE__SS,C_STEP,PAR,Plan,Par,21,60,11,26,11,26,75,32,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
GP00,GIO Rider (Par),GIO Rider (Par),0,CRGIO_,C_PLTR,PAR,Rider,Par,20,55,3,21,3,21,41,23,0,9999999999,0,250000,NA,99,99,0,0,1,19,1,0,36,0,0,0
JM1206,Jeevan Mangal,Jeevan Mangal,0,C_GLPE,C_MNGL,PAR,Plan,Par,18,50,12,12,6,6,62,30,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
JM1506,Jeevan Mangal,Jeevan Mangal,0,C_GLPE,C_MNGL,PAR,Plan,Par,18,50,15,15,6,6,65,33,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
JM1512,Jeevan Mangal,Jeevan Mangal,0,C_GLPE,C_MNGL,PAR,Plan,Par,18,50,15,15,12,12,65,33,0,9999999999,50000,99999999999,NA,99,99,0,0,0,0,1,0,36,0,0,0
JV00,Jeevan Vriksha,Jeevan Vriksha,0,C_GLMB,C_MVMB,PAR,Plan,Par,18,50,16,16,12,12,66,34,0,9999999999,50000,250000,NA,99,99,0,0,0,0,1,0,36,0,0,0
OP00,Option to Participate in Progressive Bonus,Option to Participate in Progressive Bonus,0,CR_PBP,C_OPPR,PAR,Rider,Par,10,100,1,90,1,1,100,50,500,9999999999,0,99999999999,NA,99,99,0,0,1,18,1,0,36,0,0,0
PN00,Personal Accident Rider,Personal Accident Rider,1,CR__AC,C_NABR,NPAR,Rider,NPAR Protection,20,55,5,40,5,40,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PN00N,Personal Accident Rider - Ver 1.1,Personal Accident Rider,1,CR__AC,C_NABR,NPAR,Rider,NPAR Protection,20,55,5,40,5,40,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PP00,Personal Accident Rider (Par),Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,40,5,40,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PP00N,Personal Accident Rider (Par) - Ver 1.1,Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,40,5,40,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PP07,Personal Accident Rider,Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,40,5,40,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PP10,Personal Accident Rider,Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,40,5,40,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PP20,Personal Accident Rider,Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,40,5,40,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PN20,Personal Accident Rider,Personal Accident Rider,1,CR__AC,C_NABR,NPAR,Rider,NPAR Protection,20,55,5,40,5,40,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,2,51,1,0,36,0,0,0
PP2006,Personal Accident (20 LGP 6) Rider (Par),Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,6,5,6,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PP2010,Personal Accident (20 LGP 10) Rider (Par),Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,10,5,10,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PP201N,Personal Accident (20 LGP 10) Rider (Par) - Ver 1.1,Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,10,5,10,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PP206N,Personal Accident (20 LGP 6) Rider (Par) - Ver 1.1,Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,6,5,6,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PP2506,Personal Accident (25 LGP 6) Rider (Par),Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,6,5,6,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PP2510,Personal Accident (25 LGP 10) Rider (Par),Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,10,5,10,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PP2515,Personal Accident (25 LGP 15) Rider (Par),Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,15,5,15,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PP251N,Personal Accident (25 LGP 10) Rider (Par) - Ver 1.1,Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,10,5,10,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PP255N,Personal Accident (25 LGP 15) Rider (Par) - Ver 1.1,Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,15,5,15,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
PP256N,Personal Accident (25 LGP 6) Rider (Par) - Ver 1.1,Personal Accident Rider (Par),1,CR__AC,C_PABR,PAR,Rider,Par,20,55,5,6,5,6,60,25,0,9999999999,100000,4000000,NA,99,99,0,0,1,27,1,0,36,0,0,0
RN00S,Spouse Rider,Spouse Rider,1,CR_T__,C_NLTR,NPAR,Rider,NPAR Protection,20,55,5,40,5,40,60,25,0,9999999999,100000,500000,NA,99,99,0,0,1,41,1,0,36,0,0,0
RN05,Term Rider 5 Yr,Term Rider ,1,CR_T__,C_NLTR,NPAR,Rider,NPAR Protection,20,55,5,5,5,5,60,25,0,9999999999,100000,1000000,NA,99,99,0,0,1,11,1,0,36,0,0,0
RN10,Term Rider 10 Yr,Term Rider ,1,CR_T__,C_NLTR,NPAR,Rider,NPAR Protection,20,55,10,10,10,10,60,30,0,9999999999,100000,1000000,NA,99,99,0,0,1,12,1,0,36,0,0,0
RN60,Term Rider To Age 60,Term Rider ,1,CR_T__,C_NLTR,NPAR,Rider,NPAR Protection,20,55,5,40,5,40,60,25,0,9999999999,100000,1000000,NA,99,99,0,0,1,13,1,0,36,0,0,0
RNPT,Term Rider (Non Par),Term Rider ,1,CR_T__,C_NLTR,NPAR,Rider,NPAR Protection,20,55,5,40,5,40,60,25,0,9999999999,100000,1000000,NA,99,99,0,0,1,49,1,0,36,0,0,0
RP005,Term Rider (LGP 25) 5 Yr (Par),Term Rider (Par),1,CR_T__,C_PLTR,PAR,Rider,Par,20,55,5,5,5,5,60,25,0,9999999999,100000,1000000,NA,99,99,0,0,1,42,1,0,36,0,0,0
RP00S,Spouse Rider (Par),Spouse Rider (Par),1,CR_T__,C_PLTR,PAR,Rider,Par,18,55,5,40,5,40,60,25,0,9999999999,100000,500000,NA,99,99,0,0,1,41,1,0,36,0,0,0
RP05,Term Rider 5 Yr (Par),Term Rider (Par),1,CR_T__,C_PLTR,PAR,Rider,Par,20,55,5,5,5,5,60,25,0,9999999999,100000,1000000,NA,99,99,0,0,1,11,1,0,36,0,0,0
RP05C,5 Year Renewable and Convertible Term Rider (Par),5 Year Renewable and Convertible Term Rider (Par),1,CRT_5R,C_PRCT,PAR,Rider,Par,20,55,5,10,5,10,60,25,0,9999999999,250000,2000000,NA,99,99,0,0,1,42,1,0,36,0,0,0
RP10,Term Rider 10 Yr (Par),Term Rider (Par),1,CR_T__,C_PLTR,PAR,Rider,Par,20,55,10,10,10,10,60,30,0,9999999999,100000,1000000,NA,99,99,0,0,1,12,1,0,36,0,0,0
RP60,Term Rider To Age 60 (Par),Term Rider (Par),1,CR_T__,C_PLTR,PAR,Rider,Par,20,55,5,40,5,40,60,25,0,9999999999,100000,1000000,NA,99,99,0,0,1,13,1,0,36,0,0,0
RPPT,Term Rider (Par),Term Rider (Par),1,CR_T__,C_PLTR,PAR,Rider,Par,20,55,5,40,5,40,60,25,0,9999999999,100000,1000000,NA,99,99,0,0,1,49,1,0,36,0,0,0
RPPT06,Term Rider (Par)- Limited pay 06 yrs,Term Rider (Par),1,CR_T__,C_PLTR,PAR,Rider,Par,20,55,6,6,6,6,60,26,0,9999999999,100000,1000000,NA,99,99,0,0,1,49,1,0,36,0,0,0
RPPT07,Term Rider (Par)- Limited pay 07 yrs,Term Rider (Par),1,CR_T__,C_PLTR,PAR,Rider,Par,20,55,7,7,7,7,60,27,0,9999999999,100000,1000000,NA,99,99,0,0,1,49,1,0,36,0,0,0
RPPT10,Term Rider (Par)- Limited pay 10 yrs,Term Rider (Par),1,CR_T__,C_PLTR,PAR,Rider,Par,20,55,10,10,10,10,60,30,0,9999999999,100000,1000000,NA,99,99,0,0,1,49,1,0,36,0,0,0
RPPT15,Term Rider (Par)- Limited pay 15 yrs,Term Rider (Par),1,CR_T__,C_PLTR,PAR,Rider,Par,20,55,15,15,15,15,60,35,0,9999999999,100000,1000000,NA,99,99,0,0,1,49,1,0,36,0,0,0
RPPT20,Term Rider (Par)- Limited pay 15 yrs,Term Rider (Par),1,CR_T__,C_PLTR,PAR,Rider,Par,20,55,20,20,20,20,60,40,0,9999999999,100000,1000000,NA,99,99,0,0,1,49,1,0,36,0,0,0
TN05,5 Yr Level Term Policy,Term,1,CT____,C_LTRP,NPAR,Plan,NPAR Protection,18,55,5,5,5,5,60,23,0,9999999999,250000,50000000,NA,99,99,0,0,0,0,1,0,36,0,0,0
TN05C,5 Year Renewable and Convertible Term Plan,Term,1,CT__5R,C_NRCT,NPAR,Plan,NPAR Protection,20,60,5,45,5,45,65,25,0,9999999999,250000,50000000,NA,99,99,0,0,0,0,1,0,0,0,0,0
TN05E,5 Year Renewable and Convertible Term Plan (Employee),Term,1,CT__5R,C_NRCT,NPAR,Plan,NPAR Protection,20,60,5,45,5,45,65,25,0,9999999999,250000,50000000,NA,99,99,0,0,0,0,1,0,0,0,0,0
TN05S,5 Yr Single Premium Level Term Policy,Term,0,CT___S,C_LTSP,NPAR,Plan,NPAR Protection,18,55,5,5,1,1,60,23,0,9999999999,250000,50000000,NA,99,99,0,0,0,0,1,0,0,0,0,0
TN10,10 Yr Level Term Policy,Term,1,CT____,C_LTRP,NPAR,Plan,NPAR Protection,18,50,10,10,10,10,60,28,0,9999999999,250000,50000000,NA,99,99,0,0,0,0,1,0,36,0,0,0
TN10S,10 Yr Single Premium Level Term Policy,Term,0,CT___S,C_LTSP,NPAR,Plan,NPAR Protection,18,50,10,10,1,1,60,28,0,9999999999,250000,50000000,NA,99,99,0,0,0,0,1,0,0,0,0,0
TN15,15 Yr Level Term Policy,Term,1,CT____,C_LTRP,NPAR,Plan,NPAR Protection,18,45,15,15,15,15,60,33,0,9999999999,250000,50000000,NA,99,99,0,0,0,0,1,0,36,0,0,0
TN15S,15 Yr Single Premium Level Term Policy,Term,0,CT___S,C_LTSP,NPAR,Plan,NPAR Protection,18,45,15,15,1,1,60,33,0,9999999999,250000,50000000,NA,99,99,0,0,0,0,1,0,0,0,0,0
TN20,20 Yr Level Term Policy,Term,1,CT____,C_LTRP,NPAR,Plan,NPAR Protection,18,40,20,20,20,20,60,38,0,9999999999,250000,50000000,NA,99,99,0,0,0,0,1,0,36,0,0,0
TN20S,20 Yr Single Premium Level Term Policy,Term,0,CT___S,C_LTSP,NPAR,Plan,NPAR Protection,18,40,20,20,1,1,60,38,0,9999999999,250000,50000000,NA,99,99,0,0,0,0,1,0,0,0,0,0
TN25,25 Yr Level Term Policy,Term,1,CT____,C_LTRP,NPAR,Plan,NPAR Protection,18,35,25,25,25,25,60,43,0,9999999999,250000,50000000,NA,99,99,0,0,0,0,1,0,36,0,0,0
TN25S,25 Yr Single Premium Level Term Policy,Term,0,CT___S,C_LTSP,NPAR,Plan,NPAR Protection,18,35,25,25,1,1,60,43,0,9999999999,250000,50000000,NA,99,99,0,0,0,0,1,0,0,0,0,0
TN60,Level Term to Age 60 Policy,Term,1,CT____,C_LTRP,NPAR,Plan,NPAR Protection,18,55,5,42,5,42,60,60,0,9999999999,250000,50000000,NA,99,99,0,0,0,0,1,0,36,0,0,0
TN60R,Easy Term To Age 60,Easy Term ,1,CT_E__,C_ET__,NPAR,Plan,NPAR Protection,18,50,10,42,10,42,60,28,0,9999999999,5000,50000,NA,99,99,0,0,0,0,1,0,36,0,0,0
TN60R2,Easy Term To Age 60 (new),Easy Term ,1,CT_E__,C_ET__,NPAR,Plan,NPAR Protection,18,50,10,42,10,42,60,28,0,9999999999,5000,50000,NA,99,99,0,0,0,0,1,0,36,0,0,0
UNEAD,Life Maker Personal Accident Benefit Rider,Life Maker Personal Accident Benefit Rider,0,U_PAB_,UGADBR,UL,Rider,UL,12,55,0,58,0,58,60,27,0,9999999999,100000,4000000,UNEAD,99,1,0,0,1,27,1,0,36,0,0,0
UNEAR,Life Maker Unit Linked Investment Plan - Addl Risk,Life Maker UL investment Plan,0,U_ENDW,UGENDW,UL,Plan,UL,12,60,0,58,0,58,70,22,0,9999999999,0,99999999999,UNERE,99,0,0,0,0,0,1,0,36,0,0,0
UNEDD,Life Maker Dread Disease Rider,Life Maker Dread Disease Rider,0,U_DDR_,UGDD_R,UL,Rider,UL,12,55,0,58,0,58,60,27,0,9999999999,50000,1000000,UNEDD,99,1,0,0,1,10,1,0,36,0,0,0
UNEFV,Life Maker Unit Linked Investment Plan,Life Maker UL investment Plan,0,U_ENDW,UGENDW,UL,Plan,UL,12,60,10,58,10,58,70,22,0,9999999999,0,99999999999,UNERE,99,1,0,0,0,0,1,0,36,0,0,0
UNEFVI,Life Maker Unit Linked Investment Plan 2,Life Maker UL investment Plan,0,U_END2,U_END1,UL,Plan,UL,12,60,10,58,10,58,70,22,0,9999999999,0,99999999999,UNEREI,99,1,0,0,0,0,1,0,36,0,0,0
UNERE,Life Maker Unit Linked Investment Plan - Risk Element,Life Maker UL investment Plan,0,U_ENDW,UGENDW,UL,Plan,UL,12,60,10,58,10,58,70,22,10000,9999999999,75000,99999999999,UNERE,99,0,0,0,0,0,1,0,36,0,0,0
UNEREI,Life Maker Unit Linked Investment Plan - Risk Element 2,Life Maker UL investment Plan,0,U_END2,U_END1,UL,Plan,UL,12,60,10,58,10,58,70,22,10000,9999999999,75000,99999999999,UNEREI,99,0,0,0,0,0,1,0,36,0,0,0
UNEARI,Life Maker Unit Linked Additional Risk Element 2,Life Maker UL investment Plan,0,U_END2,U_END1,UL,Plan,UL,12,60,10,58,0,58,70,22,0,9999999999,0,99999999999,UNEREI,99,0,0,0,0,0,1,0,36,0,0,0
UNHAD,Life Invest Personal Accident Benefit Rider,Life Invest Personal Accident Benefit Rider,1,U_PAB_,UGADBR,UL,Rider,UL,12,55,0,58,0,58,60,27,0,9999999999,100000,4000000,UNHAD,99,1,0,0,1,17,1,0,36,0,0,0
UNHDD,Life Invest Dread Disease Rider,Life Invest Dread Disease Rider,1,U_DDR_,UGDD_R,UL,Rider,UL,12,55,0,58,0,58,60,27,0,9999999999,100000,1000000,UNHDD,99,1,0,0,1,10,1,0,36,0,0,0
UNHF01,Life Invest UL Investment Plan SP,Life Invest,0,U_LINV,UHNILP,UL,Plan,UL,0,70,5,75,1,1,75,5,0,9999999999,0,99999999999,UNHRE,99,1,0,0,0,0,1,0,36,0,0,0
UNHF03,Life Invest UL Investment Plan 3P,Life Invest,1,U_LINV,UHNILP,UL,Plan,UL,0,70,5,75,3,3,75,5,0,9999999999,0,99999999999,UNHRE,99,1,0,0,0,0,1,0,36,0,0,0
UNHF05,Life Invest UL Investment Plan 5P,Life Invest,1,U_LINV,UHNILP,UL,Plan,UL,0,70,5,75,5,5,75,5,0,9999999999,0,99999999999,UNHRE,99,1,0,0,0,0,1,0,36,0,0,0
UNHF07,Life Invest UL Investment Plan 7P,Life Invest,1,U_LINV,UHNILP,UL,Plan,UL,0,70,5,75,7,7,75,5,0,9999999999,0,99999999999,UNHRE,99,1,0,0,0,0,1,0,36,0,0,0
UNHF10,Life Invest UL Investment Plan 10P,Life Invest,1,U_LINV,UHNILP,UL,Plan,UL,0,70,5,75,10,10,75,5,0,9999999999,0,99999999999,UNHRE,99,1,0,0,0,0,1,0,36,0,0,0
